scenario_name,seed,path,completed,makespan_step,num_tasks,num_done,makespan_time
l300_gp250_ga250_p50_50_modules_100_154_norm_tasks_sobol,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_154_norm_tasks_sobol_seed0000_tasks.csv,True,206.0,49,49,206.0
l300_gp250_ga250_p50_50_modules_100_154_hard_tasks_sobol,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_154_hard_tasks_sobol_seed0000_tasks.csv,True,209.0,49,49,209.0
l300_gp250_ga250_p50_50_modules_100_244_hard_tasks_sobol,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_244_hard_tasks_sobol_seed0000_tasks.csv,True,209.0,49,49,209.0
l300_gp250_ga250_p50_50_modules_100_244_norm_tasks_circle,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_244_norm_tasks_circle_seed0000_tasks.csv,True,240.0,49,49,240.0
l300_gp250_ga250_p50_50_modules_100_154_hard_tasks_circle,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_154_hard_tasks_circle_seed0000_tasks.csv,True,271.0,49,49,271.0
l300_gp250_ga250_p50_50_modules_100_244_norm_tasks_sobol,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_244_norm_tasks_sobol_seed0000_tasks.csv,True,271.0,49,49,271.0
l300_gp250_ga250_p50_50_modules_100_154_norm_tasks_circle,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_154_norm_tasks_circle_seed0000_tasks.csv,True,274.0,49,49,274.0
l300_gp250_ga250_p50_50_modules_100_244_hard_tasks_circle,0,configs/20251229-1/results/l300_gp250_ga250_p50_50_modules_100_244_hard_tasks_circle_seed0000_tasks.csv,True,319.0,49,49,319.0
l150_gp250_ga250_p50_50_modules_100_154_hard_tasks_circle,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_154_hard_tasks_circle_seed0000_tasks.csv,True,341.0,49,49,341.0
l150_gp250_ga250_p50_50_modules_100_154_norm_tasks_circle,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_154_norm_tasks_circle_seed0000_tasks.csv,True,374.0,49,49,374.0
l150_gp250_ga250_p50_50_modules_100_154_hard_tasks_sobol,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_154_hard_tasks_sobol_seed0000_tasks.csv,True,413.0,49,49,413.0
l150_gp250_ga250_p50_50_modules_100_154_norm_tasks_sobol,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_154_norm_tasks_sobol_seed0000_tasks.csv,False,,49,47,
l150_gp250_ga250_p50_50_modules_100_244_hard_tasks_circle,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_244_hard_tasks_circle_seed0000_tasks.csv,False,,49,45,
l150_gp250_ga250_p50_50_modules_100_244_hard_tasks_sobol,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_244_hard_tasks_sobol_seed0000_tasks.csv,False,,49,47,
l150_gp250_ga250_p50_50_modules_100_244_norm_tasks_circle,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_244_norm_tasks_circle_seed0000_tasks.csv,False,,49,40,
l150_gp250_ga250_p50_50_modules_100_244_norm_tasks_sobol,0,configs/20251229-1/results/l150_gp250_ga250_p50_50_modules_100_244_norm_tasks_sobol_seed0000_tasks.csv,False,,49,40,
